,Suburb,Price,Landsize
0,Brunswick,1026000.0,225.0
1,Brunswick,1802500.0,238.0
2,Brunswick,680000.0,81.0
3,Brunswick,950000.0,170.0
4,Brunswick,860000.0,95.0
5,Brunswick,845500.0,179.0
6,Brunswick,860000.0,181.0
7,Brunswick,659500.0,100.0
8,Brunswick,855000.0,229.0
9,Brunswick,910000.0,215.0
10,Brunswick,940000.0,186.0
11,Brunswick,1100000.0,153.0
12,Brunswick,750000.0,118.0
13,Brunswick,620000.0,72.0
14,Brunswick,880000.0,122.0
15,Brunswick,810000.0,177.0
16,Brunswick,1105000.0,147.0
17,Brunswick,792000.0,149.0
18,Brunswick,587000.0,114.0
19,Brunswick,840000.0,186.0
20,Brunswick,890000.0,199.0
21,Brunswick,840000.0,209.0
22,Brunswick,976000.0,240.0
23,Brunswick,770000.0,152.0
24,Brunswick,825000.0,210.0
25,Brunswick,936000.0,200.0
26,Brunswick,1261000.0,216.0
27,Brunswick,1045000.0,222.0
28,Brunswick,1050000.0,239.0
29,Brunswick,620000.0,135.0
30,Brunswick,625000.0,82.0
31,Brunswick,815000.0,99.0
32,Brunswick,990000.0,194.0
33,Brunswick,871000.0,215.0
34,Brunswick,860000.0,184.0
35,Brunswick,860000.0,153.0
36,Brunswick,705000.0,161.0
37,Brunswick,800000.0,137.0
38,Brunswick,754000.0,177.0
39,Brunswick,801000.0,156.0
40,Brunswick,640000.0,110.0
41,Brunswick,705000.0,55.0
42,Brunswick,765000.0,199.0
43,Brunswick,772000.0,147.0
44,Brunswick,1073000.0,182.0
45,Brunswick,945000.0,246.0
46,Brunswick,755000.0,159.0
47,Fitzroy North,860000.0,104.0
48,Fitzroy North,870000.0,107.0
49,Fitzroy North,1116000.0,152.0
50,Fitzroy North,2170000.0,177.0
51,Fitzroy North,1000000.0,249.0
52,Fitzroy North,770000.0,134.0
53,Fitzroy North,1008000.0,150.0
54,Fitzroy North,1015000.0,112.0
55,Fitzroy North,1371000.0,197.0
56,Fitzroy North,1055000.0,122.0
57,Fitzroy North,1655000.0,176.0
58,Fitzroy North,1181000.0,148.0
59,Fitzroy North,1600000.0,188.0
60,Fitzroy North,990000.0,145.0
61,Fitzroy North,1950000.0,233.0
62,Fitzroy North,1785000.0,188.0
63,Fitzroy North,1315000.0,143.0
64,Fitzroy North,1210000.0,223.0
65,Fitzroy North,1275000.0,104.0
66,Fitzroy North,1255000.0,148.0
67,Fitzroy North,1700000.0,240.0
68,Fitzroy North,1290000.0,136.0
69,Fitzroy North,1700000.0,127.0
70,Fitzroy North,875000.0,106.0
71,Fitzroy North,1080000.0,77.0
72,Fitzroy North,1851000.0,225.0
73,Fitzroy North,899000.0,153.0
74,Fitzroy North,937500.0,100.0
75,Fitzroy North,1300000.0,203.0
76,Fitzroy North,2300000.0,197.0
77,Fitzroy North,1300000.0,127.0
78,Fitzroy North,2150000.0,202.0
79,Fitzroy North,1581000.0,193.0
80,Fitzroy North,1283000.0,204.0
81,Fitzroy North,1450000.0,118.0
82,Fitzroy North,1325000.0,160.0
83,Port Melbourne,985000.0,171.0
84,Port Melbourne,2200000.0,250.0
85,Port Melbourne,1630000.0,135.0
86,Port Melbourne,1000000.0,96.0
87,Port Melbourne,1470000.0,153.0
88,Port Melbourne,1234500.0,183.0
89,Port Melbourne,1342000.0,173.0
90,Port Melbourne,1502000.0,146.0
91,Port Melbourne,1421000.0,215.0
92,Port Melbourne,1275000.0,115.0
93,Port Melbourne,1000000.0,90.0
94,Port Melbourne,1820000.0,212.0
95,Port Melbourne,1916000.0,190.0
96,Port Melbourne,1016500.0,131.0
97,Port Melbourne,1350000.0,195.0
98,Port Melbourne,1560000.0,241.0
99,Port Melbourne,1060000.0,106.0
100,Port Melbourne,1101000.0,152.0
101,Port Melbourne,880000.0,163.0
102,Port Melbourne,1080000.0,105.0
103,Port Melbourne,1115000.0,120.0
