,Suburb,Price,Landsize
0,Richmond,937000.0,125.0
1,Richmond,1260000.0,203.0
2,Richmond,1600000.0,115.0
3,Richmond,935000.0,67.0
4,Richmond,1102000.0,194.0
5,Richmond,1042500.0,80.0
6,Richmond,1130000.0,114.0
7,Richmond,1010000.0,199.0
8,Richmond,1025000.0,169.0
9,Richmond,1102000.0,167.0
10,Richmond,1152500.0,78.0
11,Richmond,1375000.0,58.0
12,Richmond,1506000.0,220.0
13,Richmond,1474000.0,238.0
14,Richmond,1555000.0,250.0
15,Richmond,1275000.0,204.0
16,Richmond,1150000.0,176.0
17,Richmond,855000.0,92.0
18,Richmond,900000.0,95.0
19,Richmond,1250000.0,120.0
20,Richmond,990000.0,117.0
21,Richmond,1189000.0,158.0
22,Richmond,1220000.0,166.0
23,Richmond,1220000.0,80.0
24,Richmond,1100000.0,162.0
25,Richmond,1346000.0,187.0
26,Richmond,1340000.0,178.0
27,Richmond,1421000.0,196.0
28,Richmond,1074000.0,245.0
29,Richmond,1205000.0,164.0
30,Richmond,1430000.0,153.0
31,Richmond,1465000.0,233.0
32,Richmond,1035000.0,108.0
33,Richmond,930000.0,97.0
34,Richmond,1182000.0,199.0
35,Richmond,777500.0,151.0
36,Richmond,1115000.0,129.0
37,Richmond,1710000.0,202.0
38,Richmond,1420000.0,198.0
39,Richmond,1346000.0,207.0
40,Richmond,1081000.0,126.0
41,Richmond,860000.0,74.0
42,Richmond,905000.0,139.0
43,Richmond,1088000.0,168.0
44,Richmond,951000.0,108.0
45,Richmond,912000.0,204.0
46,Richmond,1285000.0,133.0
47,Richmond,1220000.0,219.0
48,Richmond,900000.0,58.0
49,Richmond,1695000.0,210.0
50,Richmond,1088000.0,158.0
51,Richmond,1045000.0,200.0
52,Richmond,1275000.0,132.0
53,Richmond,1035000.0,100.0
54,Richmond,2000000.0,194.0
55,Richmond,1550000.0,131.0
56,Richmond,1456000.0,157.0
57,Richmond,1145000.0,170.0
58,Richmond,810000.0,94.0
59,Richmond,1100000.0,66.0
60,Richmond,1220000.0,198.0
61,Richmond,1045000.0,138.0
62,Richmond,2000000.0,217.0
63,Richmond,1145000.0,197.0
64,Richmond,1285000.0,123.0
65,Richmond,1645000.0,249.0
66,Richmond,1270000.0,181.0
67,Richmond,1105000.0,55.0
68,Richmond,965000.0,158.0
69,Richmond,1100000.0,126.0
70,Richmond,1850000.0,203.0
71,Richmond,1320000.0,171.0
72,Richmond,1651000.0,192.0
73,Richmond,1032000.0,128.0
74,Richmond,915000.0,140.0
75,Richmond,1075000.0,148.0
76,Richmond,1600000.0,80.0
77,Richmond,1200000.0,170.0
78,Richmond,1555000.0,189.0
79,Richmond,1361000.0,99.0
80,Richmond,1582000.0,119.0
81,Richmond,1012000.0,80.0
82,Richmond,1570000.0,248.0
83,Richmond,1345000.0,209.0
84,Richmond,1350000.0,133.0
85,Richmond,1405000.0,212.0
86,Richmond,1495000.0,159.0
87,Richmond,1410000.0,224.0
88,Richmond,1150000.0,156.0
89,Richmond,1270000.0,152.0
90,Richmond,827500.0,127.0
91,Richmond,1500000.0,162.0
92,Richmond,1165000.0,167.0
93,Richmond,870000.0,100.0
94,Richmond,1185000.0,135.0
95,Richmond,1212500.0,108.0
96,Richmond,1125000.0,103.0
97,Richmond,1520000.0,248.0
98,Richmond,950000.0,150.0
99,Richmond,1110000.0,166.0
100,Richmond,950000.0,113.0
101,Richmond,1214000.0,176.0
102,Richmond,1785000.0,240.0
103,Richmond,1050000.0,134.0
104,Richmond,2060000.0,181.0
105,Richmond,860000.0,111.0
106,Richmond,3000000.0,230.0
107,Richmond,1330000.0,154.0
108,Richmond,1210000.0,178.0
109,Richmond,911000.0,126.0
110,Richmond,1165000.0,149.0
111,Richmond,890500.0,180.0
112,Richmond,1442000.0,163.0
113,Richmond,1400000.0,244.0
114,Richmond,1301000.0,163.0
115,Richmond,1172000.0,155.0
116,Richmond,1255000.0,124.0
117,Richmond,1275000.0,110.0
118,Richmond,1120000.0,134.0
119,Richmond,1190000.0,105.0
120,Richmond,1425000.0,81.0
121,Richmond,890500.0,180.0
122,Richmond,1300000.0,200.0
123,Richmond,1530000.0,187.0
124,Richmond,1000000.0,164.0
125,Richmond,1250000.0,111.0
126,Richmond,1280000.0,185.0
127,Richmond,1341000.0,135.0
128,Richmond,1200000.0,189.0
129,Richmond,1590000.0,83.0
130,Richmond,1667500.0,92.0
131,Richmond,1310000.0,209.0
132,Richmond,1525000.0,195.0
133,Richmond,1200000.0,151.0
134,Richmond,1500000.0,72.0
135,Richmond,1200000.0,135.0
136,Richmond,931000.0,98.0
137,Richmond,1055000.0,132.0
138,Richmond,850000.0,99.0
139,Richmond,1270000.0,170.0
140,Richmond,1100000.0,190.0
141,Richmond,915000.0,128.0
142,Richmond,1400000.0,183.0
143,Richmond,1324000.0,230.0
144,Richmond,951000.0,116.0
145,Richmond,1101000.0,96.0
146,Richmond,1000000.0,143.0
147,Richmond,1700000.0,169.0
148,Richmond,1710000.0,229.0
149,Richmond,2200000.0,155.0
150,Richmond,1705000.0,229.0
151,Richmond,1360000.0,139.0
152,Richmond,1405000.0,203.0
153,Richmond,745000.0,120.0
154,Richmond,1005000.0,182.0
155,Richmond,1798000.0,144.0
156,Richmond,1000000.0,79.0
157,Richmond,1150000.0,109.0
158,Richmond,1150000.0,104.0
159,Richmond,1185000.0,124.0
160,Richmond,1777500.0,113.0
161,Richmond,925000.0,147.0
162,Richmond,1930000.0,248.0
